Inicio_CozMal,Fim_CozMal,Temp_Max_CozMal,Dur_CozMal
2023-01-06 23:22:39,2023-01-07 00:58:28,77.92152404785156,5749.2480000000005
2023-01-07 01:03:38,2023-01-07 02:41:44,77.99935150146484,5886.201
2023-01-07 02:52:39,2023-01-07 04:29:46,77.92152404785156,5826.795
2023-01-07 05:19:31,2023-01-07 06:57:41,77.92800903320312,5890.149
2023-01-07 07:06:56,2023-01-07 08:52:48,77.91179656982422,6351.959000000001
2023-01-07 08:56:11,2023-01-07 10:35:49,77.98638153076172,5977.457
2023-01-07 10:47:43,2023-01-07 12:29:51,77.99286651611328,6128.048000000001
2023-01-07 12:31:24,2023-01-07 14:11:27,77.8793716430664,6002.035000000001
2023-01-07 17:21:16,2023-01-07 19:03:13,77.95071411132812,6117.034000000001
2023-01-07 19:08:27,2023-01-07 20:53:13,78.05447387695312,6286.051
2023-01-07 20:56:10,2023-01-07 22:37:51,78.07068634033203,6100.966
2023-01-08 18:03:32,2023-01-08 19:42:33,78.25226593017578,5941.564
2023-01-08 19:52:42,2023-01-08 21:36:07,78.44682312011719,6205.136
2023-01-08 21:38:42,2023-01-08 23:24:27,78.33333587646484,6344.75
2023-01-08 23:31:58,2023-01-09 01:12:51,78.06744384765625,6052.774
2023-01-09 01:13:26,2023-01-09 02:53:10,78.09662628173828,5983.342000000001
2023-01-09 03:07:11,2023-01-09 04:31:51,78.3009033203125,5079.211
2023-01-09 04:48:51,2023-01-09 06:15:41,78.25226593017578,5209.647
2023-01-09 06:30:13,2023-01-09 08:18:30,78.10311126708984,6496.769
2023-01-09 08:18:43,2023-01-09 10:36:10,78.06744384765625,8247.156
2023-01-09 10:36:27,2023-01-09 15:09:34,78.27496337890625,16386.398
2023-01-09 10:36:27,2023-01-09 15:09:34,78.27496337890625,16386.398
2023-01-09 15:09:43,2023-01-09 17:03:50,78.06744384765625,6847.354
2023-01-09 17:04:01,2023-01-09 18:48:35,78.10311126708984,6274.0160000000005
2023-01-09 19:03:59,2023-01-09 20:31:09,78.09014129638672,5230.0560000000005
2023-01-09 20:42:52,2023-01-09 22:16:05,78.03826141357422,5593.6050000000005
2023-01-09 22:21:59,2023-01-09 23:51:52,78.04798889160156,5393.436000000001
2023-01-10 00:03:28,2023-01-10 01:31:00,78.08041381835938,5252.160000000001
2023-01-10 01:43:12,2023-01-10 03:10:06,78.05447387695312,5214.643
2023-01-10 03:23:43,2023-01-10 04:50:12,78.09986877441406,5188.46
2023-01-10 05:04:12,2023-01-10 06:30:11,78.1290512084961,5159.018
2023-01-10 06:42:29,2023-01-10 08:13:09,78.09986877441406,5440.541
2023-01-10 08:16:01,2023-01-10 10:01:42,78.0577163696289,6341.869000000001
2023-01-10 11:11:30,2023-01-10 12:45:30,78.05447387695312,5639.338000000001
2023-01-10 13:01:01,2023-01-10 14:37:51,78.0058364868164,5810.054
2023-01-10 14:45:45,2023-01-10 16:19:26,78.06744384765625,5620.749000000001
2023-01-10 16:29:13,2023-01-10 18:02:05,78.04150390625,5572.085
2023-01-10 18:06:28,2023-01-10 19:37:18,78.00259399414062,5449.59
2023-01-10 20:32:51,2023-01-10 22:03:20,78.01880645751953,5429.011
2023-01-10 22:17:42,2023-01-10 23:49:46,77.96044158935547,5523.872
2023-01-11 02:53:47,2023-01-11 04:35:39,77.98638153076172,6111.361000000001
2023-01-11 04:37:47,2023-01-11 06:33:00,78.02204895019531,6912.803000000001
2023-01-11 06:33:14,2023-01-11 08:23:06,77.97016906738281,6592.429
2023-01-11 08:23:16,2023-01-11 10:23:20,77.92152404785156,7203.8
2023-01-11 10:23:34,2023-01-11 12:18:30,77.81452178955078,6895.814
2023-01-11 12:30:19,2023-01-11 14:05:27,77.91828155517578,5707.771000000001
2023-01-11 14:16:14,2023-01-11 16:03:56,77.89234161376953,6461.718000000001
2023-01-11 16:04:03,2023-01-11 17:49:47,77.91179656982422,6344.323
2023-01-11 18:02:31,2023-01-11 19:34:34,77.90855407714844,5523.078
2023-01-11 19:42:30,2023-01-11 21:14:54,77.89558410644531,5543.683
2023-01-11 21:22:31,2023-01-11 22:53:54,77.91179656982422,5483.183
2023-01-11 23:01:32,2023-01-12 00:34:54,77.9734115600586,5602.567
2023-01-12 00:40:15,2023-01-12 02:19:52,77.92152404785156,5977.5740000000005
2023-01-12 06:47:03,2023-01-12 08:25:31,77.85343170166016,5907.831
2023-01-12 08:32:37,2023-01-12 10:08:59,77.77885437011719,5782.207
2023-01-12 10:14:16,2023-01-12 11:46:14,77.93450164794922,5518.608
2023-01-12 12:12:22,2023-01-12 14:02:45,77.56484985351562,6623.184
2023-01-12 14:33:49,2023-01-12 16:13:55,77.8469467163086,6005.9310000000005
2023-01-12 16:24:18,2023-01-12 17:56:51,77.82100677490234,5553.3910000000005
2023-01-12 18:01:23,2023-01-12 19:38:36,77.95719909667969,5832.799
2023-01-12 19:47:49,2023-01-12 21:27:10,77.96692657470703,5960.554
2023-01-12 21:28:10,2023-01-12 23:12:34,77.86964416503906,6264.1410000000005
2023-01-12 23:12:58,2023-01-13 01:11:07,77.937744140625,7089.053000000001
2023-01-13 01:11:17,2023-01-13 02:59:51,77.88585662841797,6513.639
2023-01-13 03:09:17,2023-01-13 04:42:21,77.90855407714844,5583.375
2023-01-13 04:49:34,2023-01-13 06:26:57,77.9734115600586,5842.530000000001
2023-01-13 06:34:05,2023-01-13 08:15:05,77.95719909667969,6059.978
2023-01-13 08:17:33,2023-01-13 09:57:30,77.90206909179688,5996.928000000001
2023-01-13 10:03:18,2023-01-13 11:50:21,77.97016906738281,6423.906
2023-01-13 12:56:18,2023-01-13 14:37:39,80.333984375,6080.951
2023-01-13 14:53:17,2023-01-13 16:29:53,77.83073425292969,5795.2570000000005
2023-01-13 17:08:53,2023-01-13 18:53:56,77.83073425292969,6303.305
2023-01-13 18:57:47,2023-01-13 20:47:32,77.8793716430664,6584.537
2023-01-13 20:52:05,2023-01-13 22:31:47,77.95071411132812,5982.265
2023-01-13 22:39:17,2023-01-14 00:24:57,77.98313903808594,6340.158
2023-01-14 00:41:50,2023-01-14 02:43:50,77.93450164794922,7319.539000000001
2023-01-14 02:55:38,2023-01-14 04:43:36,77.9539566040039,6478.225
2023-01-14 04:48:51,2023-01-14 06:28:47,77.86964416503906,5996.117
2023-01-14 06:36:34,2023-01-14 08:21:38,77.82100677490234,6303.732
2023-01-15 03:17:53,2023-01-15 04:43:11,78.38845825195312,5118.058
2023-01-15 05:00:57,2023-01-15 06:40:39,78.32685089111328,5982.049
2023-01-15 06:42:38,2023-01-15 08:48:34,78.55706787109375,7555.829000000001
2023-01-15 09:01:54,2023-01-15 10:51:42,78.2133560180664,6587.996
2023-01-15 10:51:52,2023-01-15 13:09:04,78.2328109741211,8231.686
2023-01-15 13:09:20,2023-01-15 15:07:49,78.11283874511719,7109.608
2023-01-15 15:08:10,2023-01-15 16:58:48,78.08689880371094,6637.8640000000005
2023-01-15 16:59:17,2023-01-15 18:49:07,78.11608123779297,6590.259
2023-01-15 18:49:38,2023-01-15 20:42:16,78.11932373046875,6757.867
2023-01-15 20:42:37,2023-01-15 22:42:25,78.1614761352539,7187.439
2023-01-15 22:42:37,2023-01-16 00:51:02,78.2490234375,7705.77
2023-01-16 00:51:09,2023-01-16 02:43:26,78.15174865722656,6736.665000000001
2023-01-16 02:56:27,2023-01-16 04:26:16,78.31387329101562,5388.660000000001
2023-01-16 04:38:39,2023-01-16 06:19:13,78.09986877441406,6034.0560000000005
2023-01-16 06:29:10,2023-01-16 08:09:06,78.01556396484375,5996.241
2023-01-16 08:09:37,2023-01-16 10:09:43,78.09662628173828,7205.5650000000005
2023-01-16 10:09:56,2023-01-16 12:46:54,78.01880645751953,9418.344
2023-01-16 15:43:30,2023-01-16 17:25:19,78.04150390625,6109.218000000001
2023-01-16 17:25:38,2023-01-16 21:00:10,78.1614761352539,12872.003
2023-01-16 21:03:02,2023-01-16 22:58:54,77.92800903320312,6951.97
2023-01-16 22:59:11,2023-01-17 00:46:26,77.90206909179688,6434.9490000000005
2023-01-17 00:57:04,2023-01-17 02:26:50,78.16796112060547,5386.243
2023-01-17 03:03:57,2023-01-17 04:31:17,78.21011352539062,5239.647
2023-01-17 04:45:02,2023-01-17 06:30:53,77.94098663330078,6350.303000000001
2023-01-17 06:31:12,2023-01-17 08:22:07,77.91828155517578,6655.494000000001
2023-01-17 08:30:42,2023-01-17 10:17:49,78.01556396484375,6426.613
2023-01-17 10:17:56,2023-01-17 12:15:00,77.97016906738281,7024.8640000000005
2023-01-17 12:15:10,2023-01-17 14:15:38,77.96044158935547,7227.537
2023-01-17 14:15:56,2023-01-17 16:11:18,78.01880645751953,6922.1320000000005
2023-01-17 16:11:24,2023-01-17 18:03:40,77.92800903320312,6735.661
2023-01-17 18:03:56,2023-01-17 20:08:00,78.1290512084961,7443.738
2023-01-17 20:08:12,2023-01-17 22:00:35,77.9734115600586,6743.080000000001
2023-01-17 22:00:42,2023-01-17 23:56:55,78.0252914428711,6973.152
2023-01-18 00:08:41,2023-01-18 01:42:02,78.03501892089844,5601.118
